ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Kueretu-67-jaguar-1,,Kueretu,67-jaguar,hijai,h.i.j.a.i,h i j a i,,Chacon2014,,,^ h . i . j . a . i $,default
Maihiki-67-jaguar-1,,Maihiki,67-jaguar,jai,j.a.i,j a i,,Chacon2014,,,^ j . a . i $,default
Sekoya-67-jaguar-1,,Sekoya,67-jaguar,jai,j.a.i,j a i,,Chacon2014,,,^ j . a . i $,default
Siona-67-jaguar-1,,Siona,67-jaguar,jai,j.a.i,j a i,,Chacon2014,,,^ j . a . i $,default
Tanimuka-67-jaguar-1,,Tanimuka,67-jaguar,jaia,j.a.i.a,j a i a,,Chacon2014,,,^ j . a . i . a $,default
Tukano-67-jaguar-1,,Tukano,67-jaguar,jai,j.a.i,j a i,,Chacon2014,,,^ j . a . i $,default
Wanano-67-jaguar-1,,Wanano,67-jaguar,jai,j.a.i,j a i,,Chacon2014,,,^ j . a . i $,default
Prototucanoan-67-jaguar-1,,Prototucanoan,67-jaguar,*jai,j.a.i,j a i,,Chacon2014,,,^ j . a . i $,default
Desano-20-centipede-1,,Desano,20-centipede,~aʔgi,ã.ʔŋ.ĩ,ã ˀŋ ĩ,,Chacon2014,,,^ ã . ʔŋ . ĩ $,default
Kubeo-20-centipede-1,,Kubeo,20-centipede,ãi,a.w.i.m.e.k.ɨ,a w i m e k ɨ,,Chacon2014,,,^ a . w . i . m . e . k . ɨ $,default
Tukano-20-centipede-1,,Tukano,20-centipede,~aʔki,ã.ʔk.ĩ,ã ˀk ĩ,,Chacon2014,,,^ ã . ʔk . ĩ $,default
Tuyuka-20-centipede-1,,Tuyuka,20-centipede,~budi,m.ũ.n.ĩ,m ũ n ĩ,,Chacon2014,,,^ m . ũ . n . ĩ $,default
Wanano-20-centipede-1,,Wanano,20-centipede,~jaʔki,ɲ.ã.ʔk.ĩ,ɲ ã ˀk ĩ,,Chacon2014,,,^ ɲ . ã . ʔk . ĩ $,default
Prototucanoan-20-centipede-1,,Prototucanoan,20-centipede,*jãkʔi,ɲ.ã.kʔ.i,ɲ ã kˀ i,,Chacon2014,,,^ ɲ . ã . kʔ . i $,default
Barasano-29-deer-1,,Barasano,29-deer,~jaba,ɲ.ã.m.ã,ɲ ã m ã,,Chacon2014,,,^ ɲ . ã . m . ã $,default
Desano-29-deer-1,,Desano,29-deer,~jaba,ɲ.ã.m.ã,ɲ ã m ã,,Chacon2014,,,^ ɲ . ã . m . ã $,default
Karapan-29-deer-1,,Karapan,29-deer,~jaba,ɲ.ã.m.ã,ɲ ã m ã,,Chacon2014,,,^ ɲ . ã . m . ã $,default
Koreguahe-29-deer-1,,Koreguahe,29-deer,jãma,ɲ.ã.m.a,ɲ ã m a,,Chacon2014,,,^ ɲ . ã . m . a $,default
Kubeo-29-deer-1,,Kubeo,29-deer,~jaba,ɲ.ã.m.ã,ɲ ã m ã,,Chacon2014,,,^ ɲ . ã . m . ã $,default
Kueretu-29-deer-1,,Kueretu,29-deer,jãma,ɲ.ã.m.a,ɲ ã m a,,Chacon2014,,,^ ɲ . ã . m . a $,default
Sekoya-29-deer-1,,Sekoya,29-deer,jãma,ɲ.ã.m.a,ɲ ã m a,,Chacon2014,,,^ ɲ . ã . m . a $,default
Siona-29-deer-1,,Siona,29-deer,jãma,ɲ.ã.m.a,ɲ ã m a,,Chacon2014,,,^ ɲ . ã . m . a $,default
Tanimuka-29-deer-1,,Tanimuka,29-deer,~jaba,ɲ.ã.m.ã,ɲ ã m ã,,Chacon2014,,,^ ɲ . ã . m . ã $,default
Tukano-29-deer-1,,Tukano,29-deer,~jaba,ɲ.ã.m.ã,ɲ ã m ã,,Chacon2014,,,^ ɲ . ã . m . ã $,default
Tuyuka-29-deer-1,,Tuyuka,29-deer,~jaba,ɲ.ã.m.ã,ɲ ã m ã,,Chacon2014,,,^ ɲ . ã . m . ã $,default
Wanano-29-deer-1,,Wanano,29-deer,~jaba,ɲ.ã.m.ã,ɲ ã m ã,,Chacon2014,,,^ ɲ . ã . m . ã $,default
Prototucanoan-29-deer-1,,Prototucanoan,29-deer,*jama,j.a.m.a,j a m a,,Chacon2014,,,^ j . a . m . a $,default
Barasano-141-yam-1,,Barasano,141-yam,~jabo,ɲ.ã.m.õ,ɲ ã m õ,,Chacon2014,,,^ ɲ . ã . m . õ $,default
Desano-141-yam-1,,Desano,141-yam,~jaʔbo,ɲ.ã.ʔm.õ,ɲ ã ˀm õ,,Chacon2014,,,^ ɲ . ã . ʔm . õ $,default
Karapan-141-yam-1,,Karapan,141-yam,~jabo,ɲ.ã.m.õ,ɲ ã m õ,,Chacon2014,,,^ ɲ . ã . m . õ $,default
Koreguahe-141-yam-1,,Koreguahe,141-yam,jãho,ɲ.ã.h.o,ɲ ã h o,,Chacon2014,,,^ ɲ . ã . h . o $,default
Kubeo-141-yam-1,,Kubeo,141-yam,~jabu,ɲ.ã.m.ũ,ɲ ã m ũ,,Chacon2014,,,^ ɲ . ã . m . ũ $,default
Kueretu-141-yam-1,,Kueretu,141-yam,jau,j.a.u,j a u,,Chacon2014,,,^ j . a . u $,default
Maihiki-141-yam-1,,Maihiki,141-yam,jãho,ɲ.ã.h.o,ɲ ã h o,,Chacon2014,,,^ ɲ . ã . h . o $,default
Siona-141-yam-1,,Siona,141-yam,jãho,ɲ.ã.h.o,ɲ ã h o,,Chacon2014,,,^ ɲ . ã . h . o $,default
Tanimuka-141-yam-1,,Tanimuka,141-yam,~jaʔbu,ɲ.ã.ʔm.ũ,ɲ ã ˀm ũ,,Chacon2014,,,^ ɲ . ã . ʔm . ũ $,default
Tukano-141-yam-1,,Tukano,141-yam,~jaʔbu,ɲ.ã.ʔm.ũ,ɲ ã ˀm ũ,,Chacon2014,,,^ ɲ . ã . ʔm . ũ $,default
Tuyuka-141-yam-1,,Tuyuka,141-yam,~jabu,ɲ.ã.m.ũ,ɲ ã m ũ,,Chacon2014,,,^ ɲ . ã . m . ũ $,default
